#Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol 
#HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool 
 11:54:04      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:54:05      0     51     35     34     71      2      0      0      -      -    877   1530      0      0 
 11:54:05      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:54:06      0     51     35     34     69      1      0      0      -      -    877   1530      0      0 
 11:54:06      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:54:07      0     52     35     34     69      1      0      0      -      -    877   1530      0      0 
 11:54:07      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:54:08      0     52     35     34     72      1      0      0      -      -    877   1530      0      0 
 11:54:08      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:54:09      0     52     36     34     71      1      0      0      -      -    877   1530      0      0 
 11:54:09      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:54:10      0     52     35     34     72      1      0      0      -      -    877   1530      0      0 
 11:54:10      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:54:11      0     52     35     34     71      1      0      0      -      -    877   1530      0      0 
 11:54:11      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:54:12      0     70     35     34     72      1      0      0      -      -    877   1530      0      0 
 11:54:12      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:54:13      0     60     36     34     72      1      0      0      -      -    877   1530      0      0 
 11:54:13      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:54:14      0     61     35     34     70      1      0      0      -      -    877   1530      0      0 
 11:54:14      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:54:15      0     51     35     34     72      1      0      0      -      -    877   1530      0      0 
 11:54:15      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:54:16      0     52     35     34     71      1      0      0      -      -    877   1530      0      0 
 11:54:16      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:54:17      0     52     36     34     69      1      0      0      -      -    877   1530      0      0 
 11:54:17      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:54:18      0     52     36     34     72      1      0      0      -      -    877   1530      0      0 
 11:54:18      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:54:19      0     52     36     34     70      2      0      0      -      -    877   1530      0      0 
 11:54:19      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:54:20      0     52     36     34     70      2      0      0      -      -    877   1530      0      0 
 11:54:20      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:54:21      0     51     36     34     71      1      0      0      -      -    877   1530      0      0 
 11:54:21      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:54:22      0     51     36     35     72      1      0      0      -      -    877   1530      0      0 
 11:54:22      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
#Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol 
#HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool 
 11:54:24      0     51     36     34     71      1      0      0      -      -    877   1530      0      0 
 11:54:24      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:54:25      0     52     36     34     72      1      0      0      -      -    877   1530      0      0 
 11:54:25      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:54:26      0     51     36     34      0      0      0      0      -      -    877   1530      0      0 
 11:54:26      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:54:27      0     52     36     34     71      1      0      0      -      -    877   1530      0      0 
 11:54:27      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:54:28      0     52     36     35     71      1      0      0      -      -    877   1530      0      0 
 11:54:28      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:54:29      0     52     36     35     67      1      0      0      -      -    877   1530      0      0 
 11:54:29      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:54:30      0     52     36     35     70      2      0      0      -      -    877   1530      0      0 
 11:54:30      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:54:31      0     52     36     35     71      1      0      0      -      -    877   1530      0      0 
 11:54:31      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:54:32      0     52     36     34     70      1      0      0      -      -    877   1530      0      0 
 11:54:32      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:54:33      0     52     36     34     71      1      0      0      -      -    877   1530      0      0 
 11:54:33      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
